"species","decimalLongitude","decimalLatitude"
"Oeneis jutta",17.10841,60.14692
"Oeneis jutta",14.89974,62.38891
"Oeneis jutta",12.87074,61.20416
"Oeneis jutta",14.78551,61.37695
"Oeneis jutta",-113.828493,53.568704
"Oeneis jutta",-114.597933,50.732963
"Oeneis jutta",-113.828793,53.567328
"Oeneis jutta",22.591485,61.24994
"Oeneis jutta",-88.345627,48.538796
"Oeneis jutta",-70.527078,45.019136
"Oeneis jutta",-71.046032,44.886705
"Oeneis jutta",-54.015915,48.492136
"Oeneis jutta",-71.598941,46.581381
"Oeneis jutta",35.527511,56.367401
"Oeneis jutta",-114.59907,50.733355
"Oeneis jutta",-113.828965,53.567927
"Oeneis jutta",-53.976695,48.53684
"Oeneis jutta",-71.59946,46.581071
"Oeneis jutta",31.003125,58.597697
"Oeneis jutta",-79.46694,46.448105
"Oeneis jutta",-128.797762,60.112725
"Oeneis jutta",-53.950539,48.536019
"Oeneis jutta",-71.040833,44.879967
"Oeneis jutta",-128.701094,60.068306
"Oeneis jutta",59.911214,60.129346
"Oeneis jutta",35.525953,56.36633
"Oeneis jutta",-54.027609,48.488722
"Oeneis jutta",-89.073792,48.650385
"Oeneis jutta",38.273509,56.763966
"Oeneis jutta",-113.828772,53.568042
"Oeneis jutta",25.540934,66.424709
"Oeneis jutta",26.632404,64.297414
"Oeneis jutta",22.185535,62.172337
"Oeneis jutta",26.405561,64.099114
"Oeneis jutta",22.170364,62.168146
"Oeneis jutta",21.692337,61.965735
"Oeneis jutta",24.810879,64.452093
"Oeneis jutta",31.4421,62.9573
"Oeneis jutta",24.953506,62.569011
"Oeneis jutta",24.960112,62.56719
"Oeneis jutta",22.190987,62.169687
"Oeneis jutta",25.470926,62.858778
"Oeneis jutta",24.957578,62.569514
"Oeneis jutta",22.264335,61.641559
"Oeneis jutta",26.411993,64.096091
"Oeneis jutta",23.624371,60.462536
"Oeneis jutta",22.263338,61.645085
"Oeneis jutta",24.960469,62.567097
"Oeneis jutta",22.170577,62.170896
"Oeneis jutta",24.961712,62.590442
"Oeneis jutta",30.504373,63.380984
"Oeneis jutta",23.751427,67.953916
"Oeneis jutta",26.324846,64.803761
"Oeneis jutta",28.696624,61.832751
"Oeneis jutta",29.60601,62.266607
"Oeneis jutta",24.712322,65.710702
"Oeneis jutta",23.744233,68.003523
"Oeneis jutta",26.127361,65.507965
"Oeneis jutta",26.624425,64.290423
"Oeneis jutta",23.739862,68.00471
"Oeneis jutta",28.113884,64.240701
"Oeneis jutta",22.254584,61.643715
"Oeneis jutta",26.414029,64.095245
"Oeneis jutta",26.06167,63.775715
"Oeneis jutta",29.098042,63.401594
"Oeneis jutta",22.383905,60.743305
"Oeneis jutta",22.189693,62.167839
"Oeneis jutta",10.385154,60.771781
"Oeneis jutta",9.917122,62.706644
"Oeneis jutta",9.885178,62.653009
"Oeneis jutta",22.438012,62.134619
"Oeneis jutta",22.168091,62.171096
"Oeneis jutta",26.641687,64.285379
"Oeneis jutta",25.643108,62.893474
"Oeneis jutta",22.436276,62.1376
"Oeneis jutta",23.353137,62.423262
"Oeneis jutta",26.383859,64.105176
"Oeneis jutta",14.183,60.24033
"Oeneis jutta",14.79479,61.38756
"Oeneis jutta",20.55076,64.40801
"Oeneis jutta",17.3312,66.17152
"Oeneis jutta",14.62232,63.2377
"Oeneis jutta",16.85264,65.17808
"Oeneis jutta",12.67119,62.67429
"Oeneis jutta",12.67186,62.67455
"Oeneis jutta",13.4027,60.48222
"Oeneis jutta",14.79278,61.38406
"Oeneis jutta",17.24773,66.23275
"Oeneis jutta",17.62968,66.01359
"Oeneis jutta",14.62603,60.48325
"Oeneis jutta",13.19978,61.61919
"Oeneis jutta",27.843849,63.853854
"Oeneis jutta",-84.321026,55.245102
"Oeneis jutta",26.319784,63.894336
"Oeneis jutta",26.265813,63.916445
"Oeneis jutta",26.365039,63.934213
"Oeneis jutta",-71.15142,45.96912
"Oeneis jutta",15.14598,59.592534
"Oeneis jutta",15.14599,59.592663
"Oeneis jutta",15.146417,59.59254
"Oeneis jutta",22.481479,62.445376
"Oeneis jutta",-53.940827,48.58235
"Oeneis jutta",24.250782,67.903791
"Oeneis jutta",24.827137,60.761754
"Oeneis jutta",24.842097,61.425961
"Oeneis jutta",25.040559,61.249429
"Oeneis jutta",11.866053,61.330513
"Oeneis jutta",-68.459428,47.651332
"Oeneis jutta",12.66726,62.67517
"Oeneis jutta",19.76233,64.09535
"Oeneis jutta",25.565202,65.077411
"Oeneis jutta",25.559268,65.078691
"Oeneis jutta",25.31135,63.321361
"Oeneis jutta",25.642336,64.996745
"Oeneis jutta",27.461553,63.274231
"Oeneis jutta",24.809853,64.449267
"Oeneis jutta",22.360064,61.723481
"Oeneis jutta",29.718974,62.237505
"Oeneis jutta",25.113869,62.198135
"Oeneis jutta",24.79032,64.457712
"Oeneis jutta",-115.143271,50.690959
"Oeneis jutta",-88.784013,48.343024
"Oeneis jutta",-77.750888,53.712278
"Oeneis jutta",-115.257142,51.01659
"Oeneis jutta",-68.514551,63.749331
"Oeneis jutta",-115.258129,51.016536
"Oeneis jutta",-115.347949,50.837379
"Oeneis jutta",15.22891,60.94821
"Oeneis jutta",15.94481,61.51812
"Oeneis jutta",15.229,60.94808
"Oeneis jutta",-105.538413,40.132228
"Oeneis jutta",30.331915,62.335572
"Oeneis jutta",-105.519487,40.129299
"Oeneis jutta",-76.577174,47.095839
"Oeneis jutta",-105.738997,40.100961
"Oeneis jutta",-77.749343,53.711948
"Oeneis jutta",-77.334276,47.787698
"Oeneis jutta",-77.333787,47.785906
"Oeneis jutta",-78.138007,48.356938
"Oeneis jutta",26.708801,62.160608
"Oeneis jutta",-74.857217,45.495147
"Oeneis jutta",-92.386996,47.831906
"Oeneis jutta",-72.193486,46.354621
"Oeneis jutta",15.33648,59.61603
"Oeneis jutta",25.16906,62.238565
"Oeneis jutta",-74.858339,45.492463
"Oeneis jutta",-82.232505,50.151786
"Oeneis jutta",-85.183303,46.652425
"Oeneis jutta",-62.766606,46.098318
"Oeneis jutta",-64.284022,46.736618
"Oeneis jutta",-85.183288,46.65242
"Oeneis jutta",10.451036,63.235013
"Oeneis jutta",10.894858,63.400383
"Oeneis jutta",10.451243,63.235385
"Oeneis jutta",-93.960558,48.917448
"Oeneis jutta",-107.898147,44.819645
"Oeneis jutta",-135.896097,63.616675
"Oeneis jutta",-92.697918,47.167612
"Oeneis jutta",10.448125,63.235887
"Oeneis jutta",11.204696,63.397286
"Oeneis jutta",-135.948761,61.016608
"Oeneis jutta",-135.036744,60.699413
"Oeneis jutta",-92.726635,47.14766
"Oeneis jutta",-135.945633,60.823667
"Oeneis jutta",-149.017068,63.847233
"Oeneis jutta",-135.947586,60.820133
"Oeneis jutta",-149.292308,63.750588
"Oeneis jutta",-149.291195,63.74909
"Oeneis jutta",-114.961883,51.57636
"Oeneis jutta",-149.292158,63.739997
"Oeneis jutta",-114.961967,51.576405
"Oeneis jutta",-149.292315,63.750583
"Oeneis jutta",-149.258375,63.719842
"Oeneis jutta",-135.945633,60.823831
"Oeneis jutta",-140.535191,64.414417
"Oeneis jutta",-114.961841,51.576451
"Oeneis jutta",-138.134849,64.024185
"Oeneis jutta",26.27935,58.44383
"Oeneis jutta",-114.961634,51.575165
"Oeneis jutta",-114.961774,51.575115
"Oeneis jutta",-114.961657,51.575314
"Oeneis jutta",-114.961524,51.575286
"Oeneis jutta",-114.961475,51.575626
"Oeneis jutta",-114.962157,51.575201
"Oeneis jutta",-114.961889,51.575491
"Oeneis jutta",-114.961952,51.575482
"Oeneis jutta",-114.961097,51.575242
"Oeneis jutta",-114.961695,51.57538
"Oeneis jutta",-114.961403,51.574919
"Oeneis jutta",-114.961859,51.575038
"Oeneis jutta",-114.961475,51.575119
"Oeneis jutta",-114.962313,51.575225
"Oeneis jutta",-71.295555,48.534078
"Oeneis jutta",-114.961912,51.575106
"Oeneis jutta",-149.249736,63.726254
"Oeneis jutta",-71.049672,44.885444
"Oeneis jutta",-71.041672,44.881424
"Oeneis jutta",-81.609357,49.850753
"Oeneis jutta",16.20996,60.40177
"Oeneis jutta",15.97108,60.56074
"Oeneis jutta",18.02624,63.97235
"Oeneis jutta",14.70598,61.06897
"Oeneis jutta",15.24516,59.77757
"Oeneis jutta",17.88633,66.01342
"Oeneis jutta",17.99327,63.97203
"Oeneis jutta",14.62713,60.79853
"Oeneis jutta",23.960026,63.516305
"Oeneis jutta",26.470958,64.761585
"Oeneis jutta",22.007545,60.859937
"Oeneis jutta",26.51155,64.741893
"Oeneis jutta",21.653199,62.798614
"Oeneis jutta",21.769131,62.318877
"Oeneis jutta",26.769115,63.071433
"Oeneis jutta",24.02548,63.496947
"Oeneis jutta",27.864593,63.323594
"Oeneis jutta",24.389447,66.713936
"Oeneis jutta",23.678877,62.052939
"Oeneis jutta",23.788546,62.002717
"Oeneis jutta",25.133105,62.36411
"Oeneis jutta",25.1304,62.305299
"Oeneis jutta",-71.049183,44.8849
"Oeneis jutta",-114.557657,52.838952
"Oeneis jutta",-115.348657,50.838653
"Oeneis jutta",-135.174685,60.789343
"Oeneis jutta",-135.050357,60.79728
"Oeneis jutta",-135.07515,60.775853
"Oeneis jutta",-115.342377,50.838464
"Oeneis jutta",29.942251,61.860272
"Oeneis jutta",28.204733,61.168487
"Oeneis jutta",22.465076,61.007877
"Oeneis jutta",22.833804,61.019787
"Oeneis jutta",27.894795,63.324469
"Oeneis jutta",25.844587,64.668324
"Oeneis jutta",23.98424,60.601374
"Oeneis jutta",23.569121,61.596518
"Oeneis jutta",23.496762,63.374019
"Oeneis jutta",29.870649,63.118814
"Oeneis jutta",26.681058,64.762186
"Oeneis jutta",15.337677,59.615914
"Oeneis jutta",29.121186,60.560944
"Oeneis jutta",-90.181982,45.864873
"Oeneis jutta",-64.786087,45.45477
"Oeneis jutta",16.26526,59.74965
"Oeneis jutta",14.99873,57.94487
"Oeneis jutta",16.76237,60.1485
"Oeneis jutta",15.33952,59.61572
"Oeneis jutta",15.31971,59.63038
"Oeneis jutta",15.14598,59.59246
"Oeneis jutta",13.31068,60.27775
"Oeneis jutta",14.22002,59.52391
"Oeneis jutta",15.34069,59.61683
"Oeneis jutta",15.33856,59.61766
"Oeneis jutta",16.7743,60.14361
"Oeneis jutta",16.75598,59.2067
"Oeneis jutta",16.80742,60.16961
"Oeneis jutta",16.919,60.5297
